22 Sep 2022 - 11:03:22.516 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - Starting CollegemanagementsystemrestApplication using Java 17.0.3 on LAPTOP-BLGNIC5O with PID 4700 (E:\FDP\collegemanagementsystemrest\target\classes started by HP in E:\FDP\collegemanagementsystemrest)
22 Sep 2022 - 11:03:22.519 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - No active profile set, falling back to 1 default profile: "default"
22 Sep 2022 - 11:03:22.560 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
22 Sep 2022 - 11:03:22.561 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
22 Sep 2022 - 11:03:23.129 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 Sep 2022 - 11:03:23.170 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 3 JPA repository interfaces.
22 Sep 2022 - 11:03:23.714 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
22 Sep 2022 - 11:03:23.715 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
22 Sep 2022 - 11:03:23.715 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
22 Sep 2022 - 11:03:23.715 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
22 Sep 2022 - 11:03:23.728 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
22 Sep 2022 - 11:03:23.739 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 Sep 2022 - 11:03:23.740 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
22 Sep 2022 - 11:03:23.802 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 Sep 2022 - 11:03:23.802 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1241 ms
22 Sep 2022 - 11:03:23.925 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22 Sep 2022 - 11:03:23.974 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.10.Final
22 Sep 2022 - 11:03:24.118 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
22 Sep 2022 - 11:03:24.209 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22 Sep 2022 - 11:03:24.511 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22 Sep 2022 - 11:03:24.527 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
22 Sep 2022 - 11:03:25.273 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
22 Sep 2022 - 11:03:25.281 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22 Sep 2022 - 11:03:25.810 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22 Sep 2022 - 11:03:25.922 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
22 Sep 2022 - 11:03:26.036 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
22 Sep 2022 - 11:03:26.169 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
22 Sep 2022 - 11:03:26.171 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
22 Sep 2022 - 11:03:26.189 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
22 Sep 2022 - 11:03:26.207 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
22 Sep 2022 - 11:03:26.366 [restartedMain] INFO  c.c.CollegemanagementsystemrestApplication - Started CollegemanagementsystemrestApplication in 4.18 seconds (JVM running for 4.774)
22 Sep 2022 - 11:04:11.318 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
22 Sep 2022 - 11:04:11.332 [Thread-4] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
22 Sep 2022 - 11:04:11.351 [Thread-4] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 Sep 2022 - 11:04:11.355 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22 Sep 2022 - 11:04:11.365 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
